                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 2.1187,                 1.7866,                  2.449,                0.71336,                0.73684,                0.80634,                0.45222,                 1.8121,                 1.8633,                 2.1993,               0.000416,               0.000416,               0.000416
                     82,                 2.1186,                 1.9615,                 2.4295,                0.65937,                0.75439,                0.76602,                0.41044,                 1.7817,                 1.8858,                 2.2056,              0.0003962,              0.0003962,              0.0003962
                     83,                  2.178,                 1.9866,                 2.4833,                0.58489,                0.66667,                0.71434,                0.38956,                 1.8401,                 1.8251,                 2.2582,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.1645,                 2.1163,                 2.5381,                0.61935,                0.59649,                0.71614,                0.39234,                 1.8141,                 1.7986,                 2.2237,              0.0003566,              0.0003566,              0.0003566
                     85,                 2.1104,                 2.0288,                 2.4295,                0.65968,                0.64912,                0.73647,                0.38798,                 1.8057,                  1.775,                 2.2058,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.0806,                 1.9041,                 2.3799,                0.70011,                0.68421,                0.79614,                  0.416,                 1.7785,                 1.7254,                 2.1854,               0.000317,               0.000317,               0.000317
                     87,                 2.1531,                  1.812,                 2.5242,                0.77438,                0.78286,                0.82247,                0.43922,                 1.7443,                 1.7005,                  2.175,              0.0002972,              0.0002972,              0.0002972
                     88,                 2.1215,                 1.8748,                 2.4199,                0.74599,                0.77193,                0.80924,                0.44693,                 1.7876,                 1.7243,                 2.2068,              0.0002774,              0.0002774,              0.0002774
                     89,                   2.12,                 2.0695,                 2.5151,                0.74917,                0.78604,                0.81733,                0.45564,                 1.8245,                 1.7326,                 2.2321,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.9469,                 2.0019,                 2.2645,                0.77589,                0.75439,                0.82861,                0.45054,                 1.8255,                 1.6888,                 2.2376,              0.0002378,              0.0002378,              0.0002378
                     91,                 2.2443,                 2.1189,                 2.5965,                0.74644,                0.77474,                 0.8118,                0.42362,                 1.8755,                 1.6815,                 2.2568,               0.000218,               0.000218,               0.000218
                     92,                 1.8572,                 2.0357,                 2.3443,                0.67318,                0.73684,                0.80729,                0.39884,                 1.9475,                 1.7009,                 2.2662,              0.0001982,              0.0001982,              0.0001982
                     93,                 2.1143,                 2.0519,                 2.4418,                0.69293,                0.79183,                0.79047,                 0.3884,                 1.9838,                 1.7288,                  2.272,              0.0001784,              0.0001784,              0.0001784
                     94,                 2.0076,                 3.0326,                  2.204,                0.67772,                0.77478,                0.79946,                0.41899,                 1.9295,                 1.7231,                 2.2486,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.8349,                 1.7672,                 2.2045,                0.66747,                0.73953,                0.80819,                0.44778,                 1.8374,                 1.7139,                 2.2152,              0.0001388,              0.0001388,              0.0001388
                     96,                 2.0421,                  1.935,                 2.3879,                0.71895,                0.71809,                0.83267,                  0.459,                 1.6878,                 1.6807,                 2.1606,               0.000119,               0.000119,               0.000119
                     97,                 2.1003,                 2.3463,                 2.4833,                 0.7257,                 0.7193,                0.83087,                0.45199,                 1.6709,                 1.6601,                 2.1472,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.9033,                 1.8651,                 2.3702,                0.73243,                 0.7193,                0.82522,                0.44971,                 1.6614,                 1.6682,                 2.1359,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.7494,                 1.9673,                 2.1023,                0.72354,                0.75439,                0.82275,                0.45009,                 1.6616,                 1.6788,                 2.1362,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.8831,                 1.8861,                 2.3317,                0.72444,                0.75439,                0.81787,                0.45866,                 1.6622,                 1.6829,                 2.1308,               3.98e-05,               3.98e-05,               3.98e-05
